GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US17031060800,17031060800,"Census Tract 608, Cook County, Illinois",1443,81
1400000US17031060900,17031060900,"Census Tract 609, Cook County, Illinois",1254,85
1400000US17031061000,17031061000,"Census Tract 610, Cook County, Illinois",1966,253
1400000US17031061100,17031061100,"Census Tract 611, Cook County, Illinois",1925,244
1400000US17031061200,17031061200,"Census Tract 612, Cook County, Illinois",1760,96
1400000US17031061500,17031061500,"Census Tract 615, Cook County, Illinois",1733,97
1400000US17031061800,17031061800,"Census Tract 618, Cook County, Illinois",1308,53
1400000US17031061901,17031061901,"Census Tract 619.01, Cook County, Illinois",1359,75
1400000US17031061902,17031061902,"Census Tract 619.02, Cook County, Illinois",1324,139
1400000US17031062000,17031062000,"Census Tract 620, Cook County, Illinois",1341,120
1400000US17031062100,17031062100,"Census Tract 621, Cook County, Illinois",1549,141
1400000US17031062200,17031062200,"Census Tract 622, Cook County, Illinois",1724,200
1400000US17031062300,17031062300,"Census Tract 623, Cook County, Illinois",1863,163
1400000US17031062400,17031062400,"Census Tract 624, Cook County, Illinois",1753,186
1400000US17031062500,17031062500,"Census Tract 625, Cook County, Illinois",1880,193
1400000US17031062600,17031062600,"Census Tract 626, Cook County, Illinois",1554,198
1400000US17031062700,17031062700,"Census Tract 627, Cook County, Illinois",1636,139
1400000US17031062800,17031062800,"Census Tract 628, Cook County, Illinois",1810,104
1400000US17031062900,17031062900,"Census Tract 629, Cook County, Illinois",1494,143
1400000US17031063000,17031063000,"Census Tract 630, Cook County, Illinois",1241,91
1400000US17031063100,17031063100,"Census Tract 631, Cook County, Illinois",1403,73
1400000US17031063200,17031063200,"Census Tract 632, Cook County, Illinois",1332,66
1400000US17031063301,17031063301,"Census Tract 633.01, Cook County, Illinois",1123,77
1400000US17031063302,17031063302,"Census Tract 633.02, Cook County, Illinois",1349,73
1400000US17031063303,17031063303,"Census Tract 633.03, Cook County, Illinois",2895,309
1400000US17031063400,17031063400,"Census Tract 634, Cook County, Illinois",1304,277
1400000US17031070101,17031070101,"Census Tract 701.01, Cook County, Illinois",1299,66
1400000US17031070102,17031070102,"Census Tract 701.02, Cook County, Illinois",1236,96
1400000US17031070103,17031070103,"Census Tract 701.03, Cook County, Illinois",1340,59
1400000US17031070200,17031070200,"Census Tract 702, Cook County, Illinois",1433,227
1400000US17031070300,17031070300,"Census Tract 703, Cook County, Illinois",1812,109
1400000US17031070400,17031070400,"Census Tract 704, Cook County, Illinois",852,404
1400000US17031070500,17031070500,"Census Tract 705, Cook County, Illinois",1536,197
1400000US17031070600,17031070600,"Census Tract 706, Cook County, Illinois",1924,253
1400000US17031070700,17031070700,"Census Tract 707, Cook County, Illinois",1610,216
1400000US17031071000,17031071000,"Census Tract 710, Cook County, Illinois",1865,247
1400000US17031071100,17031071100,"Census Tract 711, Cook County, Illinois",1744,261
1400000US17031071200,17031071200,"Census Tract 712, Cook County, Illinois",1689,139
